[2026-09-14T11:37:20.312Z] [ERROR] [SYSTEM] [DB] Sample error entry | data: {"code":500}
[2026-09-21T05:54:39.492Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L7_Ddhrdiamond_Cdhrcolormisc_S8] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_7_dhrdiamond_dhrcolormisc_8"}
[2026-09-21T05:54:39.863Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L14_Ddhrdiamond_Cdhrcolormisc_S8] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_14_dhrdiamond_dhrcolormisc_8"}
[2026-09-21T05:54:40.135Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L16_Dhir_Cdemo_S8] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_16_hir_demo_8"}
[2026-09-21T05:54:40.433Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L20_DBEdiamond_CBEcolorStone_S11] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_20_BEdiamond_BEcolorStone_11"}
[2026-09-21T05:54:40.804Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L20_DBEdiamond1_CBEcolorStone1_S11] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_20_BEdiamond1_BEcolorStone1_11"}
[2026-09-21T05:54:41.179Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L20_DBEdiamond2_CBEcolorStone2_S11] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_20_BEdiamond2_BEcolorStone2_11"}
[2026-09-21T05:54:41.444Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L21_Dhir_CHIR_S11] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_21_hir_HIR_11"}
[2026-09-21T05:54:41.713Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L22_Dhi2_Chir2_S11] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_22_hi2_hir2_11"}
[2026-09-21T05:54:42.010Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L23_Dhir3_Chir3_S8] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_23_hir3_hir3_8"}
[2026-09-21T05:54:42.272Z] [ERROR] [beluxjewel.web] [DYNAMIC_ARTICLE_SYNC] [L24_Dtesting_Ctesting_S8] ❌ Sync failed — No articles returned from ERP API on page 1 | data: {"domain":"beluxjewel.web","table":"ArticleManagement_DesignInfo_Web_24_testing_testing_8"}
[2026-09-21T08:11:31.803Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T08:11:32.459Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
[2026-09-21T08:11:35.730Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T08:11:36.410Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
[2026-09-21T08:11:38.477Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T08:11:39.108Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
[2026-09-21T08:11:41.307Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
[2026-09-21T08:11:42.468Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T08:11:43.016Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
[2026-09-21T08:11:48.089Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T08:11:48.940Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
[2026-09-21T08:20:30.879Z] [ERROR] [beluxjewel.web] [PRODUCT_QUERY] getSqliteProducts error for 'beluxjewel.web': no such table: designs | data: {"domain":"beluxjewel.web","error":"no such table: designs"}
[2026-09-21T08:20:31.971Z] [ERROR] [SYSTEM] [PRODUCT_QUERY] getSqliteProducts error for 'undefined': no such table: designs | data: {"error":"no such table: designs"}
